,Player,Dealer,Ace,Hit Flag,Stand,Hit,Double Down,Surrender,Best Action Index,Best Action
566,18,2,1,0,-16.635123572637873,-21.557522484108645,-56.31369270778343,-47.44370134076749,0,S
567,18,2,1,1,-30.434530065494563,-25.928103928439743,-192.72771776522518,-190.6112470148063,1,H
568,18,3,0,0,-16.34969173115887,-73.1926592825327,-120.4413845744523,-75.72712789071696,0,S
569,18,3,0,1,-23.588207946271083,-74.6577459232432,-523.9656843842831,-651.514593167009,0,S
570,18,3,1,0,-26.75830213609559,-8.484587083011888,-35.29122650776853,-25.345875775196806,1,H
571,18,3,1,1,-10.518034747442105,-33.02108077115584,-272.866594999744,-345.1240373719976,0,S
572,18,4,0,0,-36.95333803823277,-81.27323996141865,-100.06838754796297,-67.06255576093197,0,S
573,18,4,0,1,9.473163690415518,-95.92145438569837,-418.0414872108001,-532.1463829237797,0,S
574,18,4,1,0,-15.569086491387955,-13.487896960590621,-20.562488927650204,-28.727685891412115,1,H
575,18,4,1,1,-7.284611740012665,0.10642630428218647,-100.0,-270.84283441889283,1,H
576,18,5,0,0,-11.89653928528478,-70.2072947252344,-155.91750995677359,-71.7689261439885,0,S
577,18,5,0,1,-7.422226630493821,-81.46638631456139,-461.8676025838343,-270.52073171263635,0,S
578,18,5,1,0,-23.621110822499396,-20.47314912234053,-21.985536148016102,-28.265226914673814,1,H
579,18,5,1,1,4.424437139371948,-13.744445204242737,-100.0,-100.0,0,S
580,18,6,0,0,-61.76740128015127,-78.92040872819403,-149.75548832796528,-56.62493421951749,3,Su
581,18,6,0,1,2.086644936991221,-61.02133976541627,-341.9564303569789,-188.12434496747323,0,S
582,18,6,1,0,27.467468132473986,-22.83307237362876,-49.1461461262101,-27.245139231084057,0,S
583,18,6,1,1,-31.5672960697002,-15.692011592743214,-190.91136259389157,-191.13935901960366,1,H
584,18,7,0,0,1.3651585888498952,-80.26756852288273,-64.30814216967777,-71.10221449439904,0,S
585,18,7,0,1,24.388095850230926,-78.45850420581053,-406.29593298764337,-563.1948599904408,0,S
586,18,7,1,0,56.07892010936843,-4.838203424938547,-37.0685501443941,-8.084271763925319,0,S
587,18,7,1,1,68.72092157919246,7.48573909614009,-188.63064222330985,-187.71954866957333,0,S
588,18,8,0,0,-43.97175262000485,-82.31133027704982,-65.3392065001247,-85.16641075271934,0,S
589,18,8,0,1,-27.296650684924412,-80.43200733010147,-475.7928024953271,-723.1221743120984,0,S
590,18,8,1,0,-23.585454231961222,-35.37009122222457,-56.439831634788284,-42.5884098731361,0,S
591,18,8,1,1,-34.879663706438336,-31.19948601567662,-100.0,-190.65346994952444,1,H
592,18,9,0,0,-56.21525239857273,-83.6289518023243,-119.15049797652102,-86.8562228996121,0,S
593,18,9,0,1,-83.23982480194496,-93.02527710324887,-486.36740080785927,-670.1769182282386,0,S
594,18,9,1,0,-55.104905912893635,-31.182646641647146,-57.022415908432855,-52.572588273004655,1,H
