,State,Action
559,"(17, 10, 1, 1)",1
560,"(18, 1, 0, 0)",0
561,"(18, 1, 0, 1)",0
562,"(18, 1, 1, 0)",1
563,"(18, 1, 1, 1)",1
564,"(18, 2, 0, 0)",0
565,"(18, 2, 0, 1)",0
566,"(18, 2, 1, 0)",0
567,"(18, 2, 1, 1)",0
568,"(18, 3, 0, 0)",0
569,"(18, 3, 0, 1)",0
570,"(18, 3, 1, 0)",2
571,"(18, 3, 1, 1)",1
572,"(18, 4, 0, 0)",0
573,"(18, 4, 0, 1)",0
574,"(18, 4, 1, 0)",2
575,"(18, 4, 1, 1)",1
576,"(18, 5, 0, 0)",0
577,"(18, 5, 0, 1)",0
578,"(18, 5, 1, 0)",2
579,"(18, 5, 1, 1)",1
580,"(18, 6, 0, 0)",0
581,"(18, 6, 0, 1)",0
582,"(18, 6, 1, 0)",2
583,"(18, 6, 1, 1)",1
584,"(18, 7, 0, 0)",0
585,"(18, 7, 0, 1)",0
586,"(18, 7, 1, 0)",0
587,"(18, 7, 1, 1)",0
588,"(18, 8, 0, 0)",0
589,"(18, 8, 0, 1)",0
590,"(18, 8, 1, 0)",0
591,"(18, 8, 1, 1)",0
592,"(18, 9, 0, 0)",0
593,"(18, 9, 0, 1)",0
594,"(18, 9, 1, 0)",1
595,"(18, 9, 1, 1)",1
596,"(18, 10, 0, 0)",0
597,"(18, 10, 0, 1)",0
598,"(18, 10, 1, 0)",1
599,"(18, 10, 1, 1)",1
600,"(19, 1, 0, 0)",0
601,"(19, 1, 0, 1)",0
602,"(19, 1, 1, 0)",0
603,"(19, 1, 1, 1)",0
604,"(19, 2, 0, 0)",0
605,"(19, 2, 0, 1)",0
606,"(19, 2, 1, 0)",0
607,"(19, 2, 1, 1)",0
608,"(19, 3, 0, 0)",0
609,"(19, 3, 0, 1)",0
610,"(19, 3, 1, 0)",0
611,"(19, 3, 1, 1)",0
612,"(19, 4, 0, 0)",0
613,"(19, 4, 0, 1)",0
614,"(19, 4, 1, 0)",0
615,"(19, 4, 1, 1)",0
616,"(19, 5, 0, 0)",0
617,"(19, 5, 0, 1)",0
618,"(19, 5, 1, 0)",0
619,"(19, 5, 1, 1)",0
620,"(19, 6, 0, 0)",0
621,"(19, 6, 0, 1)",0
622,"(19, 6, 1, 0)",0
623,"(19, 6, 1, 1)",0
624,"(19, 7, 0, 0)",0
625,"(19, 7, 0, 1)",0
626,"(19, 7, 1, 0)",0
627,"(19, 7, 1, 1)",0
628,"(19, 8, 0, 0)",0
629,"(19, 8, 0, 1)",0
630,"(19, 8, 1, 0)",0
631,"(19, 8, 1, 1)",0
632,"(19, 9, 0, 0)",0
633,"(19, 9, 0, 1)",0
